CGPA,IQ,Aptitude_Score,Communication_Skill,Internships,Branch,Placed
8.0,81.0,89.0,1,1,MECH,No
7.36,105.0,74.0,5,3,CIVIL,Yes
8.15,96.0,62.0,6,1,IT,No
9.02,119.0,56.0,6,2,CSE,No
,,,3,3,CSE,Yes
7.27,88.0,47.0,7,2,IT,Yes
9.08,122.0,68.0,9,0,IT,Yes
8.27,133.0,65.0,8,1,MECH,Yes
7.03,127.0,49.0,6,0,CSE,No
8.04,118.0,65.0,8,0,CIVIL,Yes
7.04,108.0,73.0,5,0,ECE,Yes
7.03,121.0,90.0,8,0,ECE,No
7.74,134.0,80.0,4,1,IT,No
5.59,105.0,46.0,8,0,MECH,Yes
5.78,114.0,43.0,2,1,ECE,Yes
6.94,129.0,97.0,5,1,CSE,Yes
6.49,104.0,92.0,9,2,IT,Yes
7.81,103.0,89.0,4,3,CIVIL,No
6.59,92.0,84.0,6,3,IT,Yes
6.09,139.0,50.0,1,1,CIVIL,Yes
8.97,137.0,68.0,9,2,IT,Yes
7.27,86.0,95.0,1,1,IT,Yes
7.57,136.0,75.0,5,1,IT,No
6.08,115.0,64.0,4,1,CIVIL,No
6.96,124.0,60.0,3,2,CIVIL,Yes
7.61,99.0,96.0,6,3,IT,Yes
6.35,80.0,75.0,2,2,ECE,Yes
7.88,87.0,49.0,3,0,MECH,No
6.9,125.0,76.0,5,2,MECH,No
,,,9,2,MECH,Yes
6.9,93.0,63.0,2,2,CIVIL,No
9.35,91.0,74.0,8,2,CIVIL,No
7.49,130.0,88.0,2,3,ECE,Yes
6.44,102.0,74.0,5,0,MECH,No
,,,7,3,MECH,Yes
6.28,107.0,75.0,8,3,IT,Yes
7.71,113.0,57.0,1,2,CIVIL,Yes
5.54,81.0,88.0,6,1,MECH,Yes
6.17,111.0,78.0,1,1,ECE,Yes
7.7,102.0,71.0,2,3,ECE,No
,,,1,3,MECH,Yes
7.67,130.0,62.0,5,2,CIVIL,No
7.38,104.0,71.0,9,3,ECE,Yes
7.2,137.0,76.0,6,2,IT,Yes
6.02,101.0,51.0,1,1,ECE,Yes
6.78,137.0,88.0,1,1,CSE,Yes
7.04,137.0,94.0,2,0,CSE,No
8.56,101.0,52.0,9,1,CIVIL,Yes
7.84,128.0,62.0,3,3,MECH,Yes
5.74,131.0,64.0,1,1,CIVIL,Yes
7.82,121.0,74.0,5,2,CIVIL,No
7.11,85.0,80.0,7,1,CIVIL,No
6.82,94.0,69.0,6,0,CIVIL,No
8.11,133.0,56.0,1,1,IT,Yes
8.53,122.0,88.0,5,2,IT,Yes
8.43,139.0,59.0,5,2,ECE,Yes
6.66,116.0,87.0,6,3,CSE,Yes
7.19,112.0,64.0,3,1,CIVIL,Yes
,,,5,2,ECE,Yes
8.48,132.0,52.0,7,0,CSE,Yes
7.02,139.0,98.0,5,3,MECH,Yes
7.31,123.0,58.0,5,0,IT,No
6.39,123.0,88.0,5,1,CSE,Yes
6.3,84.0,75.0,3,1,MECH,Yes
8.31,118.0,51.0,1,1,CSE,No
8.86,83.0,80.0,5,3,IT,Yes
7.43,85.0,58.0,9,2,IT,No
8.5,124.0,51.0,1,3,ECE,Yes
7.86,111.0,48.0,3,0,CIVIL,Yes
6.85,131.0,46.0,4,3,CSE,No
7.86,109.0,67.0,1,0,CSE,No
9.04,126.0,53.0,1,3,MECH,No
7.46,114.0,70.0,8,2,IT,Yes
9.06,134.0,91.0,2,0,CSE,Yes
4.88,119.0,58.0,8,1,IT,Yes
8.32,131.0,97.0,7,1,CSE,Yes
7.59,95.0,86.0,2,3,ECE,No
7.2,92.0,55.0,6,1,CIVIL,Yes
7.59,129.0,92.0,6,0,CSE,No
5.51,139.0,44.0,3,1,IT,Yes
7.28,121.0,74.0,2,2,ECE,Yes
7.86,109.0,51.0,1,2,CSE,Yes
8.98,98.0,64.0,6,3,MECH,No
6.98,96.0,91.0,5,0,CIVIL,No
6.69,135.0,98.0,9,2,CSE,No
7.0,98.0,60.0,1,2,ECE,No
8.42,107.0,75.0,7,0,MECH,No
7.83,137.0,92.0,5,1,ECE,No
6.97,134.0,62.0,5,1,ECE,Yes
8.01,105.0,55.0,2,3,MECH,Yes
7.6,116.0,96.0,3,1,ECE,Yes
8.47,105.0,78.0,7,0,MECH,No
6.8,132.0,84.0,6,2,CSE,No
7.17,102.0,92.0,2,1,MECH,Yes
7.11,88.0,81.0,6,3,MECH,No
,,,2,1,CIVIL,No
7.8,132.0,78.0,2,0,MECH,Yes
7.76,80.0,53.0,2,3,MECH,Yes
7.51,137.0,70.0,3,1,CSE,No
7.27,137.0,97.0,2,3,CIVIL,Yes
6.08,80.0,44.0,4,0,IT,No
7.08,126.0,74.0,9,2,CSE,Yes
,,,6,0,CSE,No
6.7,111.0,68.0,1,0,IT,No
7.34,133.0,82.0,8,0,MECH,No
7.9,127.0,50.0,7,0,ECE,Yes
9.39,104.0,57.0,3,2,CIVIL,No
7.67,119.0,86.0,1,2,ECE,No
7.76,124.0,51.0,5,3,IT,Yes
7.43,132.0,48.0,4,1,CSE,No
5.58,80.0,49.0,8,2,CSE,Yes
7.47,95.0,97.0,1,2,CIVIL,Yes
7.56,118.0,83.0,1,1,CSE,Yes
9.96,84.0,56.0,4,2,CSE,Yes
7.31,101.0,77.0,8,0,CIVIL,Yes
7.8,108.0,46.0,5,0,CIVIL,No
