Age,Insurance,InsurancePlan
56,0,0
69,1,2
46,1,2
32,0,0
60,1,2
25,0,0
38,0,0
56,0,0
36,1,1
40,1,1
28,0,0
28,0,0
41,0,0
53,1,1
57,0,0
41,0,0
20,0,0
39,0,0
19,0,0
41,1,1
61,0,0
47,1,1
55,1,1
19,0,0
38,0,0
50,1,1
29,0,0
39,1,1
61,1,2
42,1,1
66,1,1
44,0,0
59,1,1
45,1,2
33,1,1
32,0,0
64,1,2
68,1,2
61,1,1
69,1,2
20,0,0
54,0,0
68,1,2
24,0,0
38,1,1
26,0,0
56,1,2
35,1,1
21,0,0
42,1,1
31,1,2
67,1,2
26,1,1
43,1,1
19,0,0
37,0,0
45,0,0
64,1,2
24,0,0
61,1,2
25,0,0
64,1,1
52,1,1
31,0,0
34,1,1
53,0,0
67,1,1
57,1,1
21,0,0
19,0,0
23,0,0
59,1,2
21,0,0
46,0,0
35,0,0
43,0,0
61,1,2
51,1,2
27,0,0
53,1,2
31,0,0
48,1,2
65,1,2
32,0,0
25,0,0
31,0,0
40,0,0
57,1,2
38,1,1
33,0,0
62,1,2
35,0,0
64,1,2
41,1,1
43,1,1
42,0,0
62,1,2
58,1,2
46,1,2
32,0,0
62,1,1
18,0,0
42,1,1
24,0,0
26,0,0
41,0,0
18,0,0
61,1,1
25,0,0
41,1,1
28,0,0
68,1,2
34,0,0
25,1,1
52,1,1
52,1,2
50,1,2
22,0,0
59,1,1
56,1,2
58,1,2
45,1,1
24,0,0
26,0,0
25,0,0
29,1,1
51,1,2
50,1,2
65,1,2
40,0,0
41,0,0
54,1,2
52,1,2
61,1,2
57,1,2
39,1,1
44,1,2
52,1,1
18,0,0
52,1,2
54,1,2
64,1,2
31,0,0
20,0,0
18,1,2
22,0,0
43,1,1
31,1,1
56,1,2
44,1,2
26,0,0
32,0,0
32,0,0
43,0,0
59,1,2
30,0,0
68,1,2
49,0,0
56,1,2
66,1,1
69,1,1
49,1,2
21,1,1
47,0,0
54,0,0
40,1,1
56,1,2
62,1,2
32,0,0
60,1,2
46,0,0
53,1,1
30,0,0
49,0,0
24,0,0
68,1,2
39,0,0
45,1,1
19,0,0
59,1,2
62,1,2
23,0,0
45,0,0
45,1,2
61,1,2
61,1,2
37,0,0
47,1,2
28,0,0
45,1,2
42,0,0
56,1,2
50,1,1
18,1,1
44,1,1
69,1,2
30,0,0
58,1,1
20,0,0
56,1,2
23,0,0
25,0,0
44,0,0
26,0,0
54,1,2
50,1,1
68,1,2
59,1,1
61,1,2
41,0,0
32,0,0
49,1,1
49,1,1
41,1,1
58,1,2
69,1,2
66,1,2
66,1,2
69,1,1
29,0,0
56,1,2
19,0,0
20,0,0
66,1,1
54,1,2
66,1,2
34,0,0
66,1,2
19,0,0
19,0,0
45,0,0
40,1,2
54,0,0
49,1,1
50,1,2
18,0,0
36,1,1
19,1,1
61,1,1
43,0,0
49,0,0
23,0,0
49,1,1
21,0,0
28,0,0
34,1,1
55,1,2
41,1,2
22,0,0
69,1,2
51,0,0
23,0,0
39,0,0
28,1,1
65,1,2
33,0,0
50,1,1
26,0,0
23,0,0
33,0,0
46,1,1
20,0,0
37,0,0
53,1,1
36,0,0
43,1,2
20,0,0
36,1,1
37,1,1
49,1,2
24,0,0
69,1,1
58,1,2
50,1,1
57,1,2
56,1,2
35,0,0
57,1,2
18,1,1
28,0,0
45,1,1
42,1,2
67,1,2
40,1,2
48,1,2
47,1,2
59,1,2
52,1,1
24,0,0
33,0,0
43,0,0
65,1,2
69,1,2
66,1,2
19,0,0
18,1,1
65,1,2
29,0,0
22,0,0
54,1,2
