Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,PlacementStatus,IsAnomaly
Female,Delhi,Tier3,IT,DataScience,Yes,Yes,6.63,68.3,2,2,0.0,1,0,62.3,6.57,40.6,65.7,No,0,0
Male,Chennai,Tier2,ECE,AI,Yes,No,6.4,71.0,1,1,0.0,2,0,44.0,5.86,40.3,51.8,No,0,0
Female,Hyderabad,Tier3,ECE,Networking,No,No,7.73,75.1,1,2,2.0,2,1,73.8,7.5,73.6,67.9,No,1,0
Female,Jaipur,Tier3,ECE,Embedded,No,No,9.73,99.2,4,5,5.0,6,2,100.0,9.41,98.7,,No,1,0
Male,Ahmedabad,Tier3,Mechanical,DataScience,No,No,9.01,99.6,2,3,,4,2,90.8,9.24,83.1,100.0,No,1,0
Female,Hyderabad,Tier1,EE,AI,Yes,No,7.93,80.0,2,4,2.0,4,1,63.5,8.75,57.1,67.5,No,0,0
Female,Bangalore,Tier2,CS,AI,Yes,No,7.79,74.0,1,1,3.0,3,1,67.1,7.54,61.2,83.0,No,1,0
Female,Mumbai,Tier2,IT,Embedded,No,No,6.78,73.6,1,2,1.0,2,0,51.2,5.57,48.5,57.4,No,0,0
Male,Kolkata,Tier2,ECE,DataScience,No,No,6.64,72.1,1,1,1.0,0,0,54.7,4.8,,58.7,No,1,0
Male,Pune,Tier1,ECE,Embedded,No,Yes,8.3,82.1,3,4,4.0,3,1,,7.97,83.4,81.1,No,1,0
Male,Pune,Tier3,EE,Networking,No,No,7.76,81.6,1,4,3.0,3,1,73.8,7.87,78.1,63.2,No,1,0
Female,Jaipur,Tier2,ECE,Embedded,Yes,No,5.11,56.8,0,0,0.0,0,0,33.4,4.36,29.2,25.1,Yes,0,0
Female,Mumbai,Tier3,ECE,AI,No,No,8.19,78.3,3,4,3.0,2,1,86.6,7.77,77.7,70.6,No,0,0
Female,Pune,Tier1,CS,DataScience,No,No,8.47,84.4,2,5,,4,1,82.4,7.34,82.9,90.4,No,0,0
Male,Pune,Tier3,IT,DataScience,No,No,7.53,80.6,0,2,4.0,4,1,62.3,6.7,,60.6,No,1,0
Male,Mumbai,Tier3,CS,Networking,No,No,8.19,90.2,3,4,3.0,2,2,77.6,8.02,68.0,73.4,No,0,0
Male,Hyderabad,Tier2,IT,DataScience,No,No,5.26,61.8,0,0,0.0,0,0,40.2,3.2,17.7,38.6,Yes,0,0
Male,Chennai,Tier2,IT,AI,No,Yes,7.94,75.1,1,4,2.0,3,1,68.9,6.95,79.4,84.3,No,0,0
Female,Ahmedabad,Tier2,EE,DataScience,Yes,No,6.43,60.3,1,0,2.0,2,0,41.8,4.75,35.4,35.8,No,0,0
