StudentID,CGPA,Internships,Projects,AptitudeTestScore,CommunicationSkill,Placed
1,6.87,2,2,57,8,0
2,9.75,1,2,95,1,1
3,8.66,1,0,71,6,1
4,7.99,3,2,74,8,1
5,5.78,1,4,91,5,1
6,5.78,1,1,86,4,0
7,5.29,1,1,35,2,0
8,9.33,3,0,57,6,0
9,8.01,1,3,57,6,1
10,8.54,2,0,73,1,0
11,5.1,3,3,59,9,0
12,9.85,2,1,91,6,1
13,9.16,3,0,91,3,1
14,6.06,1,5,30,4,0
15,5.91,2,4,56,4,0
16,5.92,3,2,91,3,1
17,6.52,0,3,32,10,0
18,7.62,1,5,99,3,1
19,7.16,3,2,56,3,0
20,6.46,0,2,38,4,0
21,8.06,3,0,91,7,1
22,5.7,0,2,66,4,0
23,6.46,1,4,80,9,1
24,6.83,2,5,73,1,0
25,7.28,0,2,53,8,0
26,8.93,3,0,88,7,1
27,6.0,1,4,61,2,1
28,7.57,0,1,81,8,1
29,7.96,3,5,91,1,1
30,5.23,3,2,87,9,1
31,8.04,3,0,81,9,1
32,5.85,0,1,41,2,0
33,5.33,0,1,68,7,0
34,9.74,0,3,31,10,1
35,9.83,2,4,32,3,1
36,9.04,0,2,85,7,1
37,6.52,0,0,88,10,1
38,5.49,0,3,31,9,0
39,8.42,2,4,31,4,0
40,7.2,0,3,83,1,0
41,5.61,3,5,30,2,0
42,7.48,0,4,48,1,0
43,5.17,3,4,31,5,0
44,9.55,3,2,82,5,1
45,6.29,3,4,73,7,0
46,8.31,2,3,61,9,1
47,6.56,2,4,99,9,1
48,7.6,2,2,61,3,0
49,7.73,0,2,97,3,1
50,5.92,3,5,84,3,0
